id,source,target,description,weight,combined_degree
476,PROVIDER,POST-MARKET MONITORING SYSTEM,"The Provider is responsible for establishing, documenting, and operating a robust post-market monitoring system. This system is essential for the ongoing management of the Provider’s obligations, particularly regarding high-risk AI systems, for which the Provider is mandated to implement and maintain such a system. The primary purpose of this post-market monitoring system is to facilitate the identification of needs for corrective or preventive actions, ensuring that the Provider can effectively manage and improve the system’s performance after it has been deployed. Ultimately, the Provider holds the full responsibility for managing the post-market monitoring system to ensure continued compliance and safety.",65.0,172
474,PROVIDER,CONFORMITY ASSESSMENT,"In the context of regulatory compliance, the Provider bears the primary responsibility for ensuring that high-risk AI systems adhere to all necessary requirements. A central component of this obligation is the execution of a Conformity Assessment, which the Provider must conduct to verify that the AI system meets all established standards.

Under typical circumstances, the Provider acts under its own responsibility when carrying out this Conformity Assessment. This process is a mandatory prerequisite that the Provider must ensure is accomplished before the AI system is placed on the market. Furthermore, as part of the initial Conformity Assessment, the Provider is tasked with conducting an evaluation of the AI system and pre-determining any necessary changes to ensure ongoing compliance.

The Provider’s obligations extend beyond the assessment itself; they are also required to provide comprehensive documentation regarding the Conformity Assessment in accordance with the specifications outlined in Article 49(2). Ultimately, it is the responsibility of the Provider to oversee the entire Conformity Assessment procedure, ensuring that all regulatory steps are fulfilled to guarantee the system's safety and alignment with legal requirements.",65.0,183
405,HIGH-RISK AI SYSTEM,TECHNICAL DOCUMENTATION,"High-risk AI systems are subject to rigorous regulatory mandates that require the development and maintenance of comprehensive technical documentation. This documentation is essential for ensuring full compliance with legal and safety standards, as well as for facilitating effective compliance assessments and system traceability.

Specifically, high-risk AI systems must be accompanied by technical documentation that provides a transparent and detailed overview of the system’s architecture and operational parameters. This documentation must explicitly describe the system's core capabilities and performance metrics. Furthermore, it is required to outline the hardware resources utilized by the AI system to function correctly. 

In addition to technical specifications, the documentation must detail the human oversight measures implemented to monitor the system, ensuring that there is adequate control and accountability throughout the AI’s lifecycle. By maintaining these records, organizations demonstrate that their high-risk AI systems are not only designed and operated within regulatory frameworks but also remain accountable and transparent throughout their deployment.",64.0,205
552,GENERAL-PURPOSE AI MODEL,SYSTEMIC RISK,"General-purpose AI models are subjected to rigorous evaluation processes to determine whether they pose systemic risks. This classification is significant as it triggers specific regulatory oversight and obligations throughout the model’s entire lifecycle.

A general-purpose AI model may be classified as posing systemic risk based on its inherent capability and scale. When these models demonstrate high-impact capabilities that could lead to significant negative consequences, they are flagged for further scrutiny. The determination of whether a general-purpose AI model meets the threshold for systemic risk is governed by specific regulatory frameworks, notably those outlined in Article 51 and Annex XIII. By meeting the criteria defined within these provisions—such as possessing high-impact capabilities or reaching a certain scale—a model is formally designated as having systemic risk. Consequently, the evaluation process is essential for identifying these high-impact models, ensuring that they are managed appropriately in alignment with the safety and risk-mitigation standards established for systemic risk categories.",64.0,62
634,AI OFFICE,CODE OF PRACTICE,"The AI Office plays a central role in the governance and operationalization of Codes of Practice, serving as a primary facilitator, overseer, and evaluator throughout the lifecycle of these regulatory instruments. Its responsibilities are multifaceted, spanning from the initial conception to the long-term monitoring of compliance.

Specifically, the AI Office is tasked with the coordination, development, and readiness of Codes of Practice. In accordance with Article 56(1), the AI Office facilitates the drawing-up of these codes, acting as a central organizer for their creation. Beyond initial development, the AI Office is also responsible for the ongoing review and adaptation of the codes to ensure they remain relevant and effective.

The AI Office actively encourages and facilitates stakeholder engagement regarding these codes, ensuring that the process remains collaborative and supported. Furthermore, the AI Office conducts evaluations of the Codes of Practice to determine their adequacy, ensuring they meet necessary standards. 

Crucially, the AI Office maintains oversight over the implementation of these standards. It is responsible for monitoring adherence to approved Codes of Practice, specifically ensuring that providers of General Purpose AI (GPAI) models comply with these requirements as outlined in Article 89. Through this comprehensive lifecycle management—ranging from drafting and reviewing to evaluating adequacy and monitoring adherence—the AI Office ensures that Codes of Practice effectively serve their intended regulatory and governance functions.",62.0,88
679,NOTIFIED BODY,CONFORMITY ASSESSMENT,"A Notified Body is an organization designated to perform third-party conformity assessments to ensure that products meet specific regulatory standards. Specifically, in the context of high-risk AI systems, a Notified Body holds the legal obligation to conduct conformity assessments. This process involves a rigorous evaluation where the Notified Body controls and verifies the compliance of these high-risk AI systems with the requirements set forth by the relevant legislation or Act. Through these assessments, the Notified Body plays a critical role in validating that high-risk AI technologies operate in alignment with safety and regulatory obligations.",59.0,82
1104,PROVIDER,REGISTRATION OBLIGATION,"The Provider is subject to significant registration obligations concerning their AI systems, mandated primarily under Article 49 of the regulatory framework. These obligations are comprehensive and apply in several distinct contexts to ensure transparency and oversight.

Specifically, the Provider is required to comply with registration procedures for high-risk AI systems as outlined in Article 49(2). This involves the mandatory registration of necessary information regarding these high-risk systems into the designated EU database.

Furthermore, the Provider’s registration obligations extend beyond systems explicitly classified as high-risk. The Provider is also subject to registration requirements when dealing with AI systems that fall under Annex III but for which the Provider claims the system is not high-risk. In such instances, the Provider must fulfill specific registration obligations, ensuring that even systems with debatable risk classifications are recorded and subject to regulatory scrutiny.

In summary, whether dealing with high-risk AI systems or Annex III systems for which a non-high-risk status is claimed, the Provider maintains a clear and binding obligation to comply with established registration protocols and to provide the required information to the EU database.",58.0,174
394,PROVIDER,INSTRUCTIONS FOR USE,"The Provider is responsible for the creation and provision of Instructions for Use, particularly in the context of high-risk AI systems. Under these obligations, the Provider must ensure that any high-risk AI system they produce is accompanied by appropriate and comprehensive Instructions for Use, which are to be delivered directly to the deployer.

These Instructions for Use serve a critical function in risk management and transparency. The Provider is required to include detailed information regarding the system's foreseeable risks and the potential for foreseeable misuse. By producing and distributing these instructions, the Provider ensures that deployers are adequately informed about the AI system's operational parameters, safety considerations, and limitations, thereby fulfilling their compliance obligations to support the safe and intended application of the technology.",57.0,171
430,PROVIDER,TECHNICAL DOCUMENTATION,"Under the regulatory requirements, a PROVIDER holds the obligation to prepare, create, draw up, produce, and maintain comprehensive TECHNICAL DOCUMENTATION specifically for their high-risk AI systems. This mandate, referenced in Article 11(1) and Recital 81 of the relevant regulations, requires the PROVIDER to ensure that this TECHNICAL DOCUMENTATION is established and kept up to date. Furthermore, the PROVIDER is tasked with the ongoing responsibility of examining this TECHNICAL DOCUMENTATION to formally assess and ensure the compliance of their high-risk AI systems with all applicable standards.",57.0,209
409,HIGH-RISK AI SYSTEM,ROBUSTNESS,"High-risk AI systems are subject to strict regulatory obligations regarding robustness. Specifically, high-risk AI systems must meet comprehensive requirements related to technical robustness to ensure their safe and reliable operation. This mandate for robustness, as explicitly noted in Recital 75, requires that high-risk AI systems maintain a level of technical resilience appropriate for their intended purpose and deployment environment. Consequently, ensuring robustness is a fundamental compliance requirement for any high-risk AI system.",55.0,163
820,SCIENTIFIC PANEL,AI OFFICE,"The Scientific Panel provides essential support to the AI Office, playing a critical role in the oversight and regulation of general-purpose AI models. This advisory body assists the AI Office in its monitoring and enforcement activities, ensuring a robust approach to AI governance. Specifically, the Scientific Panel contributes to the AI Office's operations by providing qualified alerts, which serve as triggers for official investigations. Through this collaborative relationship, the Scientific Panel strengthens the AI Office’s capacity to identify risks and maintain compliance within the evolving landscape of general-purpose AI.",51.0,82
183,LAW ENFORCEMENT AUTHORITY,FUNDAMENTAL RIGHTS IMPACT ASSESSMENT,"**LAW ENFORCEMENT AUTHORITY** is subject to a strict legal obligation regarding the use of advanced surveillance technology. Specifically, any **LAW ENFORCEMENT AUTHORITY** must complete a **FUNDAMENTAL RIGHTS IMPACT ASSESSMENT** prior to the deployment of real-time remote biometric identification systems. This requirement mandates that the **LAW ENFORCEMENT AUTHORITY** conducts a thorough evaluation of the **FUNDAMENTAL RIGHTS IMPACT ASSESSMENT** before the system is put into active use. This process ensures that the authority remains accountable and compliant with regulatory standards regarding the potential impact of such technologies on fundamental rights.",50.0,44
741,NATIONAL COMPETENT AUTHORITY,AI REGULATORY SANDBOX,"A National Competent Authority (NCA) is responsible for the full lifecycle management of an AI regulatory sandbox. Specifically, the National Competent Authority is tasked with the establishment, resourcing, operation, and supervision of these AI regulatory sandboxes. By fulfilling these roles, the National Competent Authority ensures that the AI regulatory sandbox functions effectively as a controlled environment for testing and innovation under proper oversight.",50.0,76
1175,DELEGATED ACT,ARTICLE 97,"The **Delegated Act** and **Article 97** are intrinsically linked within the legal framework. **Article 97** serves as the governing provision for **Delegated Acts**, establishing the regulatory foundation for their implementation. Specifically, **Article 97** defines the scope and legal parameters of these acts, including the formal procedures required to enact them. Furthermore, **Article 97** is the provision responsible for outlining the mechanisms for threshold adjustments that may be executed through a **Delegated Act**. Consequently, all **Delegated Acts** are both defined and regulated by the requirements set forth in **Article 97**.",50.0,35
1767,TESTING IN REAL WORLD CONDITIONS,ARTICLE 60,"Testing in real world conditions is a process defined and governed by Article 60. Specifically, Article 60 establishes the regulatory framework for these testing conditions, which are subject to mandatory registration requirements. By adhering to the provisions outlined in Article 60, entities conducting testing in real world conditions ensure full compliance with the established governance and registration protocols.",49.0,21
638,HARMONISED STANDARD,PRESUMPTION OF CONFORMITY,"When a **HARMONISED STANDARD** is utilized, it grants a **PRESUMPTION OF CONFORMITY** for providers. This legal mechanism functions such that compliance with the requirements set forth in a **HARMONISED STANDARD** establishes that the provider or product is in conformity with the relevant regulatory or safety requirements. Furthermore, the official publication of these **HARMONISED STANDARDS** in the Official Journal is a critical step in triggering this **PRESUMPTION OF CONFORMITY**, ensuring that providers who adhere to these established norms are recognized as meeting the necessary obligations.",48.0,19
1072,FUNDAMENTAL RIGHTS IMPACT ASSESSMENT,ARTICLE 27,"The Fundamental Rights Impact Assessment is a procedure that is formally defined and required by the provisions outlined in Article 27. Consequently, any Fundamental Rights Impact Assessment must be conducted in strict accordance with the requirements set forth by Article 27.",47.0,17
410,HIGH-RISK AI SYSTEM,ACCURACY,"High-risk AI systems are subject to stringent mandates regarding their performance, specifically requiring them to meet designated standards for accuracy. As outlined in Recital 74, these systems must achieve an appropriate level of accuracy to ensure their safe and reliable operation. Consequently, all high-risk AI systems are obligated to adhere to all established accuracy requirements throughout their lifecycle.",47.0,165
899,EUROPEAN COMMISSION,DELEGATED ACT,"The European Commission holds the authority to create, adopt, and amend Delegated Acts. These legal instruments serve as a vital mechanism for the European Commission to maintain and update regulatory frameworks. Specifically, the European Commission utilizes Delegated Acts to amend annexes, establish necessary methodologies, and modify technical documentation. Furthermore, the European Commission is empowered to use these acts to refine conformity assessments and classification rules, ensuring that the legislative requirements remain accurate, relevant, and effectively implemented.",47.0,113
835,MARKET SURVEILLANCE AUTHORITY,HIGH-RISK AI SYSTEM,"The Market Surveillance Authority plays a critical role in the regulatory oversight and governance of high-risk AI systems. As part of its mandate, the Market Surveillance Authority is responsible for conducting comprehensive evaluations of high-risk AI systems to ensure they meet established regulatory requirements and standards.

To facilitate these evaluations, the Market Surveillance Authority is equipped with significant powers, including the authority to oversee the operation of high-risk AI systems, request necessary documentation, and perform detailed audits. These actions are designed to verify that the systems function safely, ethically, and in accordance with the law.

Beyond initial evaluation and oversight, the Market Surveillance Authority acts as an enforcement body. It is tasked with ensuring continuous compliance for high-risk AI systems throughout their lifecycle. If a high-risk AI system is found to be non-compliant, the Market Surveillance Authority has the power to intervene, which includes mandating corrective actions to rectify any identified issues. Through these combined efforts of monitoring, auditing, and enforcing compliance, the Market Surveillance Authority maintains rigorous control over high-risk AI systems to ensure public safety and regulatory integrity.",46.0,247
411,HIGH-RISK AI SYSTEM,CYBERSECURITY,"High-risk AI systems are subject to mandatory cybersecurity requirements, as emphasized in Recital 76. These requirements ensure that high-risk AI systems implement robust security measures to protect against threats from malicious third parties and prevent malicious exploitation. By adhering to these cybersecurity standards, high-risk AI systems are designed to maintain integrity, reliability, and security throughout their lifecycle.",46.0,164
46,DEPLOYER,AI SYSTEM,A **Deployer** is defined as an actor or entity that utilizes an **AI System** under its own authority or control.,46.0,138
836,MARKET SURVEILLANCE AUTHORITY,REGULATION (EU) 2019/1020,"Market surveillance authorities operate under a framework defined and governed by Regulation (EU) 2019/1020, which establishes the necessary procedures for their activities. This regulation serves as the primary source from which market surveillance authorities derive their enforcement powers. These powers are critical for the effective implementation and oversight of the requirements mandated by the AI Act. Furthermore, the operations of these authorities are strictly regulated by, and subject to, the specific procedural guidelines outlined in Regulation (EU) 2019/1020, including the provisions set forth in Article 85.",45.0,95
488,PROVIDER,AUTHORISED REPRESENTATIVE,"A **Provider** appoints an **Authorised Representative** to act on their behalf, establishing a formal relationship centered on compliance and regulatory management. The **Provider** empowers the **Authorised Representative** to perform specific mandated tasks as outlined in Article 22(2), ensuring that the **Authorised Representative** can effectively carry out their duties within the Union.

Functioning as a primary contact point, the **Authorised Representative** ensures the **Provider’s** ongoing compliance with Union regulations. To facilitate these responsibilities, the **Provider** must ensure that the details of the **Authorised Representative** are explicitly included in all instructions for use. Furthermore, the **Authorised Representative** is entrusted with the authority to handle key regulatory processes for the **Provider**, including the ability to lodge applications for conformity assessment on the **Provider’s** behalf.",45.0,190
862,DOWNSTREAM PROVIDER,COMPLAINT,"A downstream provider may lodge a formal complaint with the AI Office or other relevant authorities regarding infringements committed by a General Purpose AI (GPAI) model provider. These complaints, which specifically address potential violations under Article 89, serve as a mechanism for downstream providers to seek redress or report issues related to the conduct or non-compliance of GPAI model providers. By utilizing this formal process, downstream providers can ensure that regulatory bodies are alerted to specific infringements, thereby facilitating oversight and accountability within the AI ecosystem.",42.0,12
667,HIGH-RISK AI SYSTEM,CONFORMITY ASSESSMENT,A High-Risk AI System is strictly required to undergo a Conformity Assessment. This mandatory procedure must be completed prior to the system being placed on the market. These conformity assessment procedures ensure that the High-Risk AI System meets all necessary regulatory standards before it is made available for use.,40.0,179
1189,HUMAN OVERSIGHT,ARTICLE 14,**Human oversight** and its associated **requirements** are formally defined within the scope of **Article 14**. This provision establishes the regulatory framework or mandate necessitating human intervention and monitoring to ensure compliance and accountability.,40.0,14
533,DEPLOYER,FUNDAMENTAL RIGHTS IMPACT ASSESSMENT,"In accordance with regulatory frameworks governing the use of artificial intelligence, a **DEPLOYER** is mandated to conduct a **FUNDAMENTAL RIGHTS IMPACT ASSESSMENT** prior to the deployment of any high-risk AI system. This obligation ensures that the potential impact on fundamental rights is thoroughly evaluated before the system becomes operational. This requirement is established under Article 27 and is further supported by the provisions outlined in Recital 96, which clarifies the specific scope and necessity of performing these impact assessments for high-risk AI systems. Consequently, every **DEPLOYER** must ensure compliance with these standards to uphold rights-based safeguards throughout the lifecycle of their high-risk AI applications.",40.0,96
380,PROVIDER,RISK MANAGEMENT SYSTEM,"The PROVIDER is under a legal obligation to establish, implement, document, and maintain a RISK MANAGEMENT SYSTEM specifically for their high-risk AI systems. This obligation requires the PROVIDER to ensure that the RISK MANAGEMENT SYSTEM is upheld in accordance with the regulations set forth in Article 9. By mandate, the PROVIDER must take full responsibility for the continuous operation and record-keeping of this system throughout the lifecycle of the high-risk AI deployments.",39.0,173
1127,HIGH-RISK AI SYSTEM,RISK MANAGEMENT SYSTEM,"High-risk AI systems are mandated to implement a comprehensive risk management system as a fundamental requirement for regulatory compliance. This obligation is not a one-time task but an ongoing necessity, as high-risk AI systems must be subject to the oversight and operational controls of a risk management system throughout their entire lifecycle. Consequently, adherence to these risk management system requirements is essential for the lawful and compliant operation of any high-risk AI system.",39.0,169
535,DEPLOYER,MARKET SURVEILLANCE AUTHORITY,"The relationship between a Deployer and the Market Surveillance Authority is defined by a series of mandatory cooperative obligations and communication requirements established to ensure regulatory compliance.

Under these regulations, the Deployer is required to maintain an active and collaborative partnership with the Market Surveillance Authority to facilitate the effective implementation of the Regulation. A primary component of this cooperation involves the Deployer’s duty to provide transparency regarding their operational assessments. Specifically, the Deployer must notify the Market Surveillance Authority upon the completion of a fundamental rights impact assessment, as prescribed by Recital 96, and must also inform the authority regarding other impact assessments conducted during their operations.

Furthermore, the Deployer bears the responsibility of proactively communicating potential hazards. This includes an obligation to inform the Market Surveillance Authority regarding any identified risks or serious incidents that may arise. By fulfilling these notification and cooperation duties, the Deployer ensures that the Market Surveillance Authority remains adequately informed, thereby supporting the broader objectives of regulatory oversight and public safety.",39.0,168
1210,PROVIDER,CORRECTIVE ACTION,"Under the relevant regulatory framework, a Provider bears a mandatory obligation to implement corrective action regarding their AI systems. Specifically, as mandated by Article 81(5) and Article 82(2), a Provider is required to take necessary corrective measures for AI systems placed on the Union market to ensure they are brought into compliance with applicable standards and legal requirements. This obligation encompasses any situation where the AI systems fail to meet regulatory expectations, requiring the Provider to execute corrective actions to rectify deficiencies and maintain alignment with the mandated rules.",39.0,168
1341,REGISTRATION OBLIGATION,ARTICLE 49,The registration obligation for providers and deployers is defined under Article 49.,39.0,15
475,PROVIDER,QUALITY MANAGEMENT SYSTEM,"The Provider is under a formal obligation to establish, implement, and maintain a sound Quality Management System. This mandate requires the Provider to ensure such a system is in place and to verify its effectiveness in accordance with the standards set forth in Article 17.",39.0,184
725,DEPLOYER,TRANSPARENCY OBLIGATION,"The **DEPLOYER** is subject to specific **TRANSPARENCY OBLIGATION** requirements, as outlined in Article 50. These obligations mandate that the **DEPLOYER** must proactively inform natural persons and disclose relevant information regarding the use of AI technologies. 

Specifically, the **DEPLOYER** is required to clearly disclose when content has been artificially created or manipulated. Furthermore, when utilizing a high-risk AI system, the **DEPLOYER** bears the responsibility to inform any natural persons subject to that system, ensuring clarity and transparency throughout the interaction. Together, these requirements ensure that the **DEPLOYER** remains compliant with legal standards regarding the disclosure of AI-generated or manipulated content and the use of high-risk AI systems.",38.0,97
747,MEMBER STATES,NATIONAL COMPETENT AUTHORITY,"**Member States** are responsible for the formal designation or establishment of **National Competent Authorities** within their respective jurisdictions, in accordance with Article 70. Beyond this initial creation or appointment, **Member States** retain the ongoing duty to evaluate, assess, and update the specific competence and resource requirements necessary for these **National Competent Authorities** to perform their functions effectively. Furthermore, **Member States** have the authority to delegate specific operational obligations to these bodies, including the mandate to establish and oversee regulatory sandboxes.",38.0,89
101,DEPLOYER,HIGH-RISK AI SYSTEM,"A **Deployer** utilizing a **High-Risk AI System** is subject to specific regulatory requirements designed to ensure the safe and compliant operation of such technology. Regardless of their geographic location, any **Deployer** whose **High-Risk AI System** produces output intended for use within the European Union is legally obligated to ensure full compliance with the relevant regulations governing those systems.

In the course of their operations, **Deployers** are mandated to use **High-Risk AI Systems** strictly in accordance with the provided instructions of use. Furthermore, **Deployers** must adhere to specific operational and information requirements established to oversee the deployment and impact of these systems. By fulfilling these obligations, **Deployers** ensure that the use of any **High-Risk AI System** remains within the legal and operational framework required when that system’s output is utilized within the Union.",38.0,239
891,COMPLAINT,MARKET SURVEILLANCE AUTHORITY,"A complaint may be lodged with the relevant market surveillance authority by any person, including both natural and legal persons. This includes affected persons who choose to file a complaint regarding specific infringements, as outlined in Article 85. Essentially, whether the filer is an individual or a business entity, they have the right to initiate this formal process with the appropriate market surveillance authority whenever such violations occur.",38.0,94
442,PROVIDER,HUMAN OVERSIGHT,"**Provider** and **Human Oversight**

The **Provider** of a high-risk AI system bears the mandatory obligation to ensure that appropriate **Human Oversight** measures are integrated into the system. This responsibility entails a two-fold process: identifying the necessary oversight mechanisms and successfully implementing them. 

The **Provider** is required to complete these actions specifically before the system is placed on the market. Furthermore, the development phase for these measures must be robust; the **Provider** must not only identify but also actively design and build these oversight measures into the architecture of the high-risk AI system itself. By fulfilling these obligations, the **Provider** ensures that the system is equipped with the necessary checks and balances to support effective **Human Oversight** from the moment of market entry.",38.0,173
993,PROVIDER,CE MARKING,"The Provider has a mandatory obligation to affix the CE marking to their products. This action serves as an official declaration by the Provider to signify and indicate conformity with the relevant regulatory requirements. Specifically, this requirement includes adhering to the standards set forth in Chapter III, Section 2. By applying the CE marking, the Provider confirms that the product meets all necessary legal and safety criteria.",37.0,171
1854,SCIENTIFIC PANEL,DECLARATION OF INTERESTS,"Both scientific panel experts and scientific panel members are required to fulfill an obligation to draw up a declaration of interests. This mandate ensures transparency and integrity within the scientific panel, requiring all participants to formally disclose any potential conflicts that might influence their work or decision-making processes.",37.0,21
838,NATIONAL COMPETENT AUTHORITY,MARKET SURVEILLANCE AUTHORITY,"National competent authorities and market surveillance authorities operate in an interconnected regulatory framework, specifically regarding the oversight of AI systems. A market surveillance authority is classified as a category under the umbrella of a national competent authority. In this structure, Member States are responsible for designating specific national competent authorities to serve as market surveillance authorities. This relationship is particularly evident in the financial sector, where national competent authorities responsible for financial supervision are simultaneously tasked with acting as the market surveillance authority for any AI systems integrated into or connected to those financial services.",37.0,137
502,PRODUCT MANUFACTURER,HIGH-RISK AI SYSTEM,"Under the regulatory framework, a **PRODUCT MANUFACTURER** is classified as a ""provider"" of a **HIGH-RISK AI SYSTEM** in specific circumstances. This designation applies when the AI system acts as a safety component, as defined under Annex I of the relevant regulations. Specifically, per Article 25(3), a **PRODUCT MANUFACTURER** is deemed to be the provider responsible for high-risk AI safety components. Consequently, when a **PRODUCT MANUFACTURER** embeds an AI system into their products that qualifies as a safety component under Annex I, they are legally required to comply with all established provider obligations associated with **HIGH-RISK AI SYSTEM**s.",37.0,169
991,NOTIFYING AUTHORITY,CONFORMITY ASSESSMENT BODY,"The Notifying Authority serves a critical regulatory role in the oversight and designation of Conformity Assessment Bodies. Its primary responsibility is to conduct thorough evaluations of these bodies to assess their qualifications, competence, and suitability for designation. As part of this regulatory function, the Notifying Authority ensures that Conformity Assessment Bodies meet all necessary requirements before they are formally authorized to perform their duties. Furthermore, the Notifying Authority is responsible for providing evidence to the European Commission, attesting to the competence of the designated Conformity Assessment Bodies, thereby ensuring transparency and compliance within the regulatory framework.",36.0,32
